rank,score,name,displayName,displayNameEn,template,subTemplate,category,DAU_6mo,banner_monthly_yen,interstitial_monthly_yen,rewarded_monthly_yen,total_monthly_yen,total_yearly_yen,targetApp,difficulty,theme,bundleId,description
12,727,"english-vocab-quiz","英単語クイズ","English Vocabulary Quiz","game","quiz","Education",11777,353310,1987369,529965,2870644,34447728,"mikan (¥600/mo)",2,"coral-reef","com.massapp.englishvocabquiz","TOEIC/英検レベル別の英単語テスト"
13,727,"spi-quiz","SPI対策クイズ","SPI Test Prep","game","quiz","Education",11777,353310,1987369,529965,2870644,34447728,"SPI apps (¥500-1000)",2,"pastel-dream","com.massapp.spiquiz","就職活動のSPIテスト対策"
14,727,"eiken-quiz","英検対策クイズ","Eiken Test Prep","game","quiz","Education",11777,353310,1987369,529965,2870644,34447728,"英検アプリ (¥500-1000)",2,"monochrome","com.massapp.eikenquiz","実用英語技能検定の対策問題"
15,727,"nandoku-kanji","難読漢字クイズ","Difficult Kanji Quiz","game","quiz","Education",11777,353310,1987369,529965,2870644,34447728,"Kanji quiz (¥300-500)",2,"monochrome","com.massapp.nandokukanji","読めそうで読めない難読漢字クイズ"
16,713,"speed-math","暗算トレーニング","Mental Math Training","game","memory","Education",11561,346830,1950919,520245,2817994,33815928,"Brain training ($5/mo)",2,"monochrome","com.massapp.speedmath","制限時間内に暗算問題を解くトレーニング"
17,711,"horoscope-daily","今日の星座占い","Daily Horoscope","game","fortune","Entertainment",11526,103734,1945012,518670,2567416,30808992,"Co-Star ($9)",1,"warm-orange","com.massapp.horoscopedaily","12星座の毎日の運勢を占う"
18,704,"white-noise","ホワイトノイズ","White Noise","utility","sound","Health",11408,342240,385020,205344,932604,11191248,"White Noise ($1-5)",2,"midnight-navy","com.massapp.whitenoise","ホワイトノイズ・ピンクノイズで集中・睡眠"
19,690,"water-tracker","水分記録","Water Tracker","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"Water trackers ($2-5)",1,"midnight-navy","com.massapp.watertracker","1日の水分摂取量を記録・目標管理"
20,690,"weight-tracker","体重記録","Weight Tracker","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"Weight trackers ($2-5)",2,"earth-brown","com.massapp.weighttracker","体重の推移をグラフで可視化"
21,690,"sleep-tracker","睡眠記録","Sleep Tracker","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"AutoSleep (¥900)",2,"pastel-dream","com.massapp.sleeptracker","就寝・起床時間と睡眠の質を記録"
22,690,"baby-tracker","育児記録","Baby Tracker","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"ぴよログ (¥400/mo)",2,"ocean-blue","com.massapp.babytracker","授乳・おむつ・睡眠を記録"
23,690,"period-tracker","生理日記録","Period Tracker","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"Period trackers ($2-5/mo)",2,"forest-green","com.massapp.periodtracker","生理日・排卵日・体調を予測・記録"
24,690,"diet-log","ダイエット記録","Diet Log","lifestyle","tracker","Health",11186,100674,1006740,201348,1308762,15705144,"Diet apps ($3-10/mo)",2,"neon-cyber","com.massapp.dietlog","体重・食事・運動のダイエット記録"
25,671,"math-quiz","算数クイズ","Math Quiz","game","quiz","Education",10883,326490,1836506,489735,2652731,31832772,"Math quiz ($1-3)",1,"earth-brown","com.massapp.mathquiz","四則演算のスピードクイズ"
26,671,"general-knowledge-quiz","一般常識クイズ","General Knowledge Quiz","game","quiz","Education",10883,326490,1836506,489735,2652731,31832772,"Trivia apps ($1-3)",1,"neon-cyber","com.massapp.generalknowledgequiz","就活にも使える一般常識テスト"
27,671,"multiplication-table","九九練習","Multiplication Table","game","quiz","Education",10883,326490,1836506,489735,2652731,31832772,"Math apps ($1-3)",1,"neon-cyber","com.massapp.multiplicationtable","九九の掛け算を練習・テスト"
28,671,"kids-math-quiz","さんすうクイズ","Kids Math Quiz","game","quiz","Education",10883,326490,1836506,489735,2652731,31832772,"Kids math ($1-3)",1,"forest-green","com.massapp.kidsmathquiz","幼児・小学低学年向けの算数クイズ"
29,658,"reaction-time","反射神経テスト","Reaction Time Test","game","memory","Games",10683,320490,1802756,480735,2603981,31247772,"Reaction games ($0.99-2)",1,"forest-green","com.massapp.reactiontime","反応速度を測定するテスト"
30,658,"attention-training","集中力トレーニング","Attention Training","game","memory","Games",10683,320490,1802756,480735,2603981,31247772,"CogniFit ($19.99/mo)",2,"mint-fresh","com.massapp.attentiontraining","注意力と集中力を鍛えるミニゲーム集"
31,653,"rain-sounds","雨の音","Rain Sounds","utility","sound","Health",10604,318120,357885,190872,866877,10402524,"Sleep sounds ($2-5)",2,"earth-brown","com.massapp.rainsounds","雨・雷・嵐のリラックスサウンド"
32,653,"baby-sleep-sounds","赤ちゃん寝かしつけ音","Baby Sleep Sounds","utility","sound","Health",10604,318120,357885,190872,866877,10402524,"Baby sleep apps ($2-5)",2,"midnight-navy","com.massapp.babysleepsounds","赤ちゃんが眠るホワイトノイズ・子守唄"
33,637,"medicine-tracker","お薬リマインダー","Medicine Reminder","lifestyle","tracker","Health",10338,93042,930420,186084,1209546,14514552,"Medicine trackers ($2-5)",2,"mint-fresh","com.massapp.medicinetracker","薬の服用スケジュールを管理・リマインド"
34,616,"omikuji","おみくじ","Omikuji Fortune","game","fortune","Entertainment",10009,90081,1689019,450405,2229505,26754060,"おみくじアプリ (¥100-300)",1,"coral-reef","com.massapp.omikuji","毎日のおみくじで運勢をチェック"
35,616,"tarot-reading","タロット占い","Tarot Reading","game","fortune","Entertainment",10009,90081,1689019,450405,2229505,26754060,"Nebula ($8-10/week)",2,"ocean-blue","com.massapp.tarotreading","タロットカードで運勢を占う"
36,616,"seimei-handan","姓名判断","Name Fortune Telling","game","fortune","Entertainment",10009,90081,1689019,450405,2229505,26754060,"姓名判断アプリ (¥300-500)",2,"forest-green","com.massapp.seimeihandan","名前の画数から運勢を占う"
37,616,"personality-test","性格診断","Personality Test","game","fortune","Entertainment",10009,90081,1689019,450405,2229505,26754060,"Personality apps ($2-5)",1,"monochrome","com.massapp.personalitytest","MBTI風の性格診断テスト"
38,615,"color-analysis","パーソナルカラー診断","Personal Color Analysis","game","quiz","Beauty",9988,299640,1685475,449460,2434575,29214900,"Color analysis ($2-5)",1,"earth-brown","com.massapp.coloranalysis","パーソナルカラー（春夏秋冬）診断"
39,610,"fasting-timer","断食タイマー","Fasting Timer","utility","timer","Health",9905,178290,891450,44573,1114313,13371756,"Fasting apps ($5-10/mo)",1,"midnight-navy","com.massapp.fastingtimer","16:8等のインターミッテントファスティングタイマー"
40,607,"kakuro","カックロ","Kakuro","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Kakuro apps ($1-3)",2,"pastel-dream","com.massapp.kakuro","足し算のクロスワードパズル"
41,607,"word-search","単語探し","Word Search","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Word search ($1-3)",1,"coral-reef","com.massapp.wordsearch","マス目から隠された単語を見つける"
42,607,"crossword-jp","クロスワード","Crossword Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Crossword apps ($2-5)",2,"warm-orange","com.massapp.crosswordjp","日本語のクロスワードパズル"
43,607,"slide-puzzle","スライドパズル","Slide Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Puzzle apps ($0.99-2)",1,"ocean-blue","com.massapp.slidepuzzle","タイルをスライドして正しい順番に並べる"
44,607,"math-puzzle","数学パズル","Math Puzzle","game","puzzle","Education",9864,295920,1664550,443880,2404350,28852200,"Math puzzle ($1-3)",2,"forest-green","com.massapp.mathpuzzle","四則演算で答えを導く数学パズル"
45,607,"logic-puzzle","ロジックパズル","Logic Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Logic puzzle ($2-5)",3,"sunset-purple","com.massapp.logicpuzzle","論理的思考で解くパズル問題"
46,607,"color-puzzle","カラーパズル","Color Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Color puzzle ($0.99-2)",1,"sakura-pink","com.massapp.colorpuzzle","同じ色をつなげて消すパズル"
47,607,"anagram","アナグラム","Anagram","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Word games ($1-3)",1,"midnight-navy","com.massapp.anagram","文字を並べ替えて単語を作る"
48,607,"connect-dots","一筆書きパズル","One Stroke Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Line puzzle ($0.99-2)",2,"earth-brown","com.massapp.connectdots","一筆で全てのドットをつなぐパズル"
49,607,"fill-puzzle","ブロック埋めパズル","Block Fill Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Block puzzle ($0.99-2)",2,"neon-cyber","com.massapp.fillpuzzle","ブロックをはめてマスを埋めるパズル"
50,607,"maze-puzzle","迷路","Maze Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Maze apps ($0.99-2)",1,"pastel-dream","com.massapp.mazepuzzle","ゴールを目指す迷路パズル"
51,607,"tower-of-hanoi","ハノイの塔","Tower of Hanoi","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Classic puzzle ($0.99)",1,"mint-fresh","com.massapp.towerofhanoi","円盤を正しい順で移動するパズル"
52,607,"number-guessing","数当てゲーム","Number Guessing Game","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Number games ($0.99)",1,"sunset-purple","com.massapp.numberguessing","1-100の数を当てるゲーム"
53,607,"hangman","ハングマン","Hangman","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Word games ($0.99-2)",1,"sakura-pink","com.massapp.hangman","文字を推測して単語を当てるゲーム"
54,607,"tic-tac-toe","三目並べ","Tic Tac Toe","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Tic Tac Toe ($0.99)",1,"midnight-navy","com.massapp.tictactoe","○×の三目並べゲーム"
55,607,"connect-four","四目並べ","Connect Four","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Board games ($0.99-2)",1,"earth-brown","com.massapp.connectfour","縦横斜めに4つ並べるゲーム"
56,607,"gomoku","五目並べ","Gomoku","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Gomoku ($0.99-2)",2,"pastel-dream","com.massapp.gomoku","五目並べ対戦ゲーム"
57,607,"lights-out","ライツアウト","Lights Out","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Puzzle apps ($0.99)",2,"coral-reef","com.massapp.lightsout","全てのライトを消すパズルゲーム"
58,607,"freecell","フリーセル","FreeCell","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Card games ($0.99-3)",2,"ocean-blue","com.massapp.freecell","トランプのフリーセルゲーム"
59,607,"spot-the-difference","間違い探し","Spot the Difference","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Spot diff ($0.99-3)",1,"sunset-purple","com.massapp.spotthedifference","2枚の絵の間違いを探すゲーム"
60,607,"pipe-puzzle","配管パズル","Pipe Puzzle","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Pipe puzzle ($0.99-2)",2,"forest-green","com.massapp.pipepuzzle","パイプをつなげて水を流すパズル"
61,607,"tangram","タングラム","Tangram","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Tangram ($0.99-2)",2,"sunset-purple","com.massapp.tangram","7つのピースでシルエットを作るパズル"
62,607,"kakuro-hard","カックロ上級","Kakuro Advanced","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Kakuro ($1-3)",3,"sakura-pink","com.massapp.kakurohard","上級者向けの大きなカックロパズル"
63,607,"killer-sudoku","キラー数独","Killer Sudoku","game","puzzle","Games",9864,295920,1664550,443880,2404350,28852200,"Killer Sudoku ($1-3)",3,"midnight-navy","com.massapp.killersudoku","足し算ルール追加の変則数独"
64,603,"sound-mixer","サウンドミキサー","Sound Mixer","utility","sound","Health",9800,294000,330750,176400,801150,9613800,"Noisli ($1-10)",3,"earth-brown","com.massapp.soundmixer","複数の環境音をミックスして自分だけのサウンドを作成"
65,584,"habit-tracker","習慣トラッカー","Habit Tracker","lifestyle","tracker","Productivity",9489,85401,854010,170802,1110213,13322556,"Streaks ($4.99)",2,"sakura-pink","com.massapp.habittracker","毎日の習慣を記録・連続日数を表示"
66,569,"love-compatibility","恋愛相性占い","Love Compatibility","game","fortune","Entertainment",9251,83259,1561106,416295,2060660,24727920,"Compatibility apps ($2-5)",1,"earth-brown","com.massapp.lovecompatibility","二人の名前・誕生日から相性を診断"
67,563,"kakeibo","かんたん家計簿","Simple Budget","lifestyle","budget","Finance",9155,164790,823950,41198,1029938,12359256,"Zaim (¥440/mo)",2,"sunset-purple","com.massapp.kakeibo","支出をカテゴリ別に記録する家計簿"
68,559,"yojijukugo-quiz","四字熟語クイズ","Yojijukugo Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Yojijukugo apps (¥300-500)",1,"forest-green","com.massapp.yojijukugoquiz","四字熟語の意味を当てるクイズ"
69,559,"kotowaza-quiz","ことわざクイズ","Proverb Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Kotowaza apps (¥100-300)",1,"sunset-purple","com.massapp.kotowazaquiz","日本語のことわざの意味を当てるクイズ"
70,559,"flag-quiz","国旗クイズ","Flag Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"StudyGe ($4.99/mo)",1,"midnight-navy","com.massapp.flagquiz","世界の国旗を当てるクイズ"
71,559,"capital-quiz","首都クイズ","Capital City Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"StudyGe ($4.99/mo)",1,"earth-brown","com.massapp.capitalquiz","世界の首都を当てるクイズ"
72,559,"history-quiz","日本史クイズ","Japanese History Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"History quiz (¥300-500)",2,"neon-cyber","com.massapp.historyquiz","日本史の重要人物・出来事をクイズ"
73,559,"world-history-quiz","世界史クイズ","World History Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"History quiz apps ($2-5)",2,"pastel-dream","com.massapp.worldhistoryquiz","世界史の重要な出来事をクイズ"
74,559,"science-quiz","理科クイズ","Science Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Science quiz ($1-3)",2,"mint-fresh","com.massapp.sciencequiz","物理・化学・生物の基礎知識クイズ"
75,559,"animal-quiz","動物クイズ","Animal Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Animal quiz ($1-2)",1,"warm-orange","com.massapp.animalquiz","動物の特徴から名前を当てるクイズ"
76,559,"food-quiz","食べ物クイズ","Food Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Food quiz ($1-2)",1,"ocean-blue","com.massapp.foodquiz","料理・食材の知識クイズ"
77,559,"station-name-quiz","駅名クイズ","Station Name Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Station quiz (¥100-300)",1,"sakura-pink","com.massapp.stationnamequiz","難読駅名の読み方を当てるクイズ"
78,559,"idiom-quiz","慣用句クイズ","Idiom Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Japanese language apps (¥300)",1,"coral-reef","com.massapp.idiomquiz","日本語の慣用句の意味を当てるクイズ"
79,559,"geography-quiz","地理クイズ","Geography Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"StudyGe ($4.99/mo)",1,"warm-orange","com.massapp.geographyquiz","世界の地形・気候・文化をクイズ"
80,559,"anatomy-quiz","人体クイズ","Anatomy Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Anatomy Atlas (¥3,000)",2,"monochrome","com.massapp.anatomyquiz","人体の骨・筋肉・臓器の知識クイズ"
81,559,"itsukei-quiz","一般教養クイズ","Liberal Arts Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Quiz apps (¥300)",1,"forest-green","com.massapp.itsukeiquiz","文学・芸術・哲学の教養クイズ"
82,559,"hyakunin-isshu-quiz","百人一首クイズ","Hyakunin Isshu Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Hyakunin Isshu (¥300-600)",1,"sunset-purple","com.massapp.hyakuninisshuquiz","百人一首の上の句から下の句を当てる"
83,559,"hiragana-practice","ひらがな練習","Hiragana Practice","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Japanese learning ($3-10)",1,"pastel-dream","com.massapp.hiraganapractice","ひらがなの読み書きを練習"
84,559,"katakana-practice","カタカナ練習","Katakana Practice","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Japanese learning ($3-10)",1,"mint-fresh","com.massapp.katakanapractice","カタカナの読み書きを練習"
85,559,"alphabet-practice","アルファベット練習","Alphabet Practice","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"ABC apps ($1-3)",1,"coral-reef","com.massapp.alphabetpractice","英語のアルファベット練習（子供向け）"
86,559,"english-grammar-quiz","英文法クイズ","English Grammar Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Grammar apps ($3-5)",2,"warm-orange","com.massapp.englishgrammarquiz","英文法の基礎をクイズで学習"
87,559,"chinese-quiz","中国語クイズ","Chinese Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Chinese learning ($5-10/mo)",2,"sunset-purple","com.massapp.chinesequiz","中国語の基礎単語・ピンインクイズ"
88,559,"korean-quiz","韓国語クイズ","Korean Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Korean learning ($5-10/mo)",2,"sakura-pink","com.massapp.koreanquiz","韓国語の基礎単語・ハングルクイズ"
89,559,"french-quiz","フランス語クイズ","French Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Language apps ($5-10/mo)",2,"midnight-navy","com.massapp.frenchquiz","フランス語の基礎単語クイズ"
90,559,"chemistry-formula-quiz","化学式クイズ","Chemical Formula Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Science quiz ($1-3)",2,"earth-brown","com.massapp.chemistryformulaquiz","化学式と元素記号のクイズ"
91,559,"kids-shape-quiz","かたちクイズ","Shape Quiz for Kids","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Kids shape ($0.99-2)",1,"sakura-pink","com.massapp.kidsshapequiz","形と色を当てる幼児向けクイズ"
92,559,"kids-counting","かずをかぞえよう","Counting for Kids","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Kids counting ($0.99-3)",1,"midnight-navy","com.massapp.kidscounting","1から100までの数を数える練習"
93,559,"word-chain","しりとり","Word Chain (Shiritori)","game","quiz","Games",9094,272820,1534613,409230,2216663,26599956,"Word games ($0.99-2)",1,"sakura-pink","com.massapp.wordchain","コンピュータとしりとり対戦"
94,559,"license-plate-quiz","ナンバープレートクイズ","License Plate Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Quiz apps ($0.99)",1,"midnight-navy","com.massapp.licenseplatequiz","車のナンバープレートの地名を当てるクイズ"
95,559,"kokuji-quiz","国字クイズ","Kokuji Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Kanji quiz (¥100-300)",1,"warm-orange","com.massapp.kokujiquiz","日本で作られた漢字「国字」のクイズ"
96,559,"onomatopoeia-quiz","オノマトペクイズ","Onomatopoeia Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Japanese quiz (¥100-300)",1,"ocean-blue","com.massapp.onomatopoeiaquiz","擬音語・擬態語の意味を当てるクイズ"
97,559,"goju-on-trainer","五十音トレーナー","Gojuon Trainer","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Japanese learning ($1-3)",1,"forest-green","com.massapp.gojuontrainer","五十音表の読み書きをトレーニング"
98,559,"prefecture-capital-quiz","県庁所在地クイズ","Prefecture Capital Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Geography quiz (¥100-300)",1,"sunset-purple","com.massapp.prefecturecapitalquiz","47都道府県の県庁所在地を当てるクイズ"
99,559,"mountain-quiz","日本の山クイズ","Japanese Mountain Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Geography quiz (¥100-300)",1,"sakura-pink","com.massapp.mountainquiz","日本の名山の標高・場所を当てるクイズ"
100,559,"river-quiz","日本の川クイズ","Japanese River Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Geography quiz (¥100-300)",1,"midnight-navy","com.massapp.riverquiz","日本の川の長さ・流域を当てるクイズ"
101,559,"world-heritage-quiz","世界遺産クイズ","World Heritage Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Heritage quiz ($1-3)",1,"neon-cyber","com.massapp.worldheritagequiz","世界遺産の名前と場所を当てるクイズ"
102,559,"dinosaur-quiz","恐竜クイズ","Dinosaur Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Kids science ($1-3)",1,"pastel-dream","com.massapp.dinosaurquiz","恐竜の名前と特徴を当てるクイズ"
103,559,"space-quiz","宇宙クイズ","Space Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Space quiz ($1-3)",1,"mint-fresh","com.massapp.spacequiz","惑星・星・宇宙の知識クイズ"
104,559,"insect-quiz","昆虫クイズ","Insect Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Nature quiz ($0.99-2)",1,"coral-reef","com.massapp.insectquiz","昆虫の名前と特徴を当てるクイズ"
105,559,"fish-quiz","お魚クイズ","Fish Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Nature quiz ($0.99-2)",1,"warm-orange","com.massapp.fishquiz","魚の名前と漢字を当てるクイズ"
106,559,"flower-quiz","お花クイズ","Flower Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Nature quiz ($0.99-2)",1,"monochrome","com.massapp.flowerquiz","花の名前と花言葉を当てるクイズ"
107,559,"tree-quiz","樹木クイズ","Tree Quiz","game","quiz","Education",9094,272820,1534613,409230,2216663,26599956,"Nature quiz ($0.99-2)",1,"ocean-blue","com.massapp.treequiz","木の名前と特徴を当てるクイズ"
108,549,"memory-match","神経衰弱","Memory Match","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Memory games ($1-3)",1,"coral-reef","com.massapp.memorymatch","カードをめくって同じ絵柄を探す神経衰弱"
109,549,"sequence-memory","記憶力チャレンジ","Sequence Memory","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Elevate ($4.99/mo)",2,"warm-orange","com.massapp.sequencememory","光る順番を覚えて再現する記憶ゲーム"
110,549,"soroban-training","そろばんトレーニング","Soroban Training","game","memory","Education",8928,267840,1506600,401760,2176200,26114400,"そろばん apps (¥300-500)",2,"ocean-blue","com.massapp.sorobantraining","そろばん式暗算のトレーニング"
111,549,"color-match","色判別ゲーム","Color Match Game","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Brain games ($1-3)",1,"sunset-purple","com.massapp.colormatch","文字の色と意味が一致するか判定するゲーム"
112,549,"number-memory","数字記憶","Number Memory","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Lumosity ($11.99/mo)",2,"sakura-pink","com.massapp.numbermemory","表示された数字を記憶して入力するゲーム"
113,549,"word-memory","単語記憶ゲーム","Word Memory Game","game","memory","Education",8928,267840,1506600,401760,2176200,26114400,"Peak ($4.99/mo)",2,"midnight-navy","com.massapp.wordmemory","表示された単語を記憶して選ぶゲーム"
114,549,"pattern-recognition","パターン認識","Pattern Recognition","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Brain training ($3-5/mo)",2,"earth-brown","com.massapp.patternrecognition","パターンの法則を見つけるトレーニング"
115,549,"typing-speed","タイピング速度","Typing Speed Test","game","memory","Education",8928,267840,1506600,401760,2176200,26114400,"TapTyping ($3.99)",1,"neon-cyber","com.massapp.typingspeed","タイピング速度を測定・トレーニング"
116,549,"visual-memory","視覚記憶テスト","Visual Memory Test","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Brain games ($3-5/mo)",2,"pastel-dream","com.massapp.visualmemory","一瞬表示された画像の位置を記憶するテスト"
117,549,"simon-says","サイモンセッズ","Simon Says","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Memory games ($0.99-2)",1,"warm-orange","com.massapp.simonsays","光と音の順番を覚えるゲーム"
118,549,"shinkei-suijaku-animal","どうぶつ神経衰弱","Animal Memory Match","game","memory","Games",8928,267840,1506600,401760,2176200,26114400,"Memory games ($0.99)",1,"forest-green","com.massapp.shinkeisuijakuanimal","動物カードの神経衰弱ゲーム（子供向け）"
119,531,"mood-tracker","気分記録","Mood Tracker","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Mood apps ($2-5/mo)",2,"neon-cyber","com.massapp.moodtracker","毎日の気分・感情を記録・分析"
120,531,"workout-tracker","筋トレ記録","Workout Tracker","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Strong ($5-10/mo)",2,"sunset-purple","com.massapp.workouttracker","筋トレの種目・重量・セット数を記録"
